Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2460458.000000,8194.268684,2033.582355,-3770.280214
Phobos,401,2460465.000000,8263.954505,-961.213243,-4004.423721
Phobos,401,2460472.000000,7477.808235,-3856.534285,-3818.408564
Phobos,401,2460479.000000,5919.730234,-6351.324137,-3233.112094
Phobos,401,2460486.000000,3756.908154,-8192.330960,-2313.552123
Phobos,401,2460493.000000,1217.743256,-9202.099233,-1159.270081
Phobos,401,2460500.000000,-1437.805946,-9295.370056,108.983908
Phobos,401,2460507.000000,-3948.933091,-8480.841058,1364.139826
Phobos,401,2460514.000000,-6078.503631,-6852.320741,2485.122438
Phobos,401,2460521.000000,-7630.698751,-4574.723599,3366.446666
Phobos,401,2460528.000000,-8464.763503,-1866.901483,3926.578252
Phobos,401,2460535.000000,-8504.053214,1017.383371,4112.907271
Phobos,401,2460542.000000,-7740.544447,3807.967704,3905.474071
Phobos,401,2460549.000000,-6237.512085,6237.733437,3319.229896
Phobos,401,2460556.000000,-4128.588060,8064.803435,2405.191504
Phobos,401,2460563.000000,-1609.881831,9097.289068,1248.035623
Phobos,401,2460570.000000,1073.457315,9215.689237,-39.751589
Phobos,401,2460577.000000,3649.238715,8391.981592,-1327.013561
Phobos,401,2460584.000000,5848.907600,6700.507369,-2478.665785
Phobos,401,2460591.000000,7441.953400,4313.217130,-3372.508618
Phobos,401,2460598.000000,8264.464654,1479.832000,-3914.847545
Phobos,401,2460605.000000,8239.079219,-1502.833983,-4051.945497
Phobos,401,2460612.000000,7381.862525,-4329.122430,-3774.933498
Phobos,401,2460619.000000,5793.900080,-6720.689488,-3118.375739
Phobos,401,2460626.000000,3644.366696,-8452.583854,-2153.277327
Phobos,401,2460633.000000,1149.615250,-9369.876414,-977.893035
Phobos,401,2460640.000000,-1449.613340,-9397.053670,293.507066
Phobos,401,2460647.000000,-3909.297671,-8538.882663,1540.583488
Phobos,401,2460654.000000,-6000.208915,-6876.764840,2645.733919
Phobos,401,2460661.000000,-7523.891592,-4562.932279,3503.072186
Phobos,401,2460668.000000,-8329.213488,-1810.419410,4026.891854
Phobos,401,2460675.000000,-8327.155106,1122.026076,4159.980321
Phobos,401,2460682.000000,-7502.905598,3948.686907,3880.262590
Phobos,401,2460689.000000,-5923.852659,6382.163915,3206.700787
Phobos,401,2460696.000000,-3739.615454,8166.078065,2200.997263
Phobos,401,2460703.000000,-1169.690077,9107.755100,962.725171
Phobos,401,2460710.000000,1519.922584,9104.171828,-380.566413
Phobos,401,2460717.000000,4048.263437,8157.608362,-1688.643202
Phobos,401,2460724.000000,6155.911476,6374.659648,-2826.287491
Phobos,401,2460731.000000,7635.680396,3948.549536,-3680.021240
Phobos,401,2460738.000000,8351.778228,1132.876098,-4169.112946
Phobos,401,2460745.000000,8249.225733,-1789.066097,-4251.576924
Phobos,401,2460752.000000,7353.139958,-4534.816458,-3925.653828
Phobos,401,2460759.000000,5759.963902,-6847.529962,-3226.479456
Phobos,401,2460766.000000,3625.288099,-8514.031652,-2221.705307
Phobos,401,2460773.000000,1150.664917,-9379.460414,-1005.059222
Phobos,401,2460780.000000,-1432.236964,-9358.527960,311.033864
Phobos,401,2460787.000000,-3879.264976,-8443.241671,1603.381484
Phobos,401,2460794.000000,-5951.358774,-6707.370701,2746.822910
Phobos,401,2460801.000000,-7436.410470,-4306.559903,3625.269405
Phobos,401,2460808.000000,-8173.544775,-1469.723152,4144.977783
Phobos,401,2460815.000000,-8074.949205,1520.432627,4245.918122
Phobos,401,2460822.000000,-7140.855314,4355.771945,3911.302977
Phobos,401,2460829.000000,-5464.771103,6739.069284,3172.606619
Phobos,401,2460836.000000,-3223.277261,8423.078440,2106.338720
Phobos,401,2460843.000000,-652.853635,9240.600197,823.984222
Phobos,401,2460850.000000,1979.599183,9120.931590,-542.323543
Phobos,401,2460857.000000,4409.074809,8093.049509,-1855.355427
Phobos,401,2460864.000000,6401.433820,6275.248860,-2988.543382
Phobos,401,2460871.000000,7772.908553,3856.042155,-3836.999962
Phobos,401,2460878.000000,8402.153828,1072.885558,-4324.710095
Phobos,401,2460885.000000,8236.506952,-1809.518634,-4409.108521
Phobos,401,2460892.000000,7293.463606,-4521.444883,-4082.663553
Phobos,401,2460899.000000,5657.980463,-6807.774537,-3373.462133
Phobos,401,2460906.000000,3478.235335,-8446.099495,-2343.757883
Phobos,401,2460913.000000,957.069261,-9267.164200,-1086.978863
